Brand,Model,Year,Created On,Modified On
Lexus,LX 450,1996,2013-01-01,2013-01-01
Lexus,IS 300 AWD,2021,2020-10-19,2021-04-26
Lexus,SC 300/SC 400,1996,2013-01-01,2013-01-01
Lexus,IS 300,2023,2022-10-03,2023-06-01
Lexus,IS 350,2006,2013-01-01,2013-01-01
Lexus,ES 300,1999,2013-01-01,2013-01-01
Lexus,IS 250 AWD,2012,2013-01-01,2016-09-26
Lexus,LS 400,1996,2013-01-01,2013-01-01
Lexus,RX 350,2014,2013-01-01,2016-09-26
Lexus,IS 300,2005,2013-01-01,2013-01-01
Lexus,GX 460,2015,2014-09-04,2016-09-26
Lexus,IS 250,2009,2013-01-01,2013-01-01
Lexus,GX 470,2006,2013-01-01,2013-01-01
Lexus,GX 460,2019,2018-08-30,2018-12-18
Lexus,LS 460 AWD,2014,2013-01-01,2016-09-26
Lexus,ES 300h,2015,2014-09-18,2017-04-05
Lexus,GS 450h,2009,2013-01-01,2020-06-02
Lexus,GX 550,2024,2024-02-21,2024-04-16
Lexus,LX 570,2014,2013-01-01,2016-09-26
Lexus,RX 350 2WD,2011,2013-01-01,2016-09-26
Lexus,NX 350 AWD F Sport,2024,2023-04-11,2024-05-29
Lexus,LS 460 L,2017,2016-09-26,2016-11-22
Lexus,NX 200t AWD F Sport,2015,2014-11-20,2016-09-26
Lexus,RZ 450e AWD (18 inch wheels),2024,2024-05-02,2024-05-02
Lexus,NX 250,2025,2024-04-16,2024-05-29
Lexus,UX 250h,2019,2019-01-29,2019-08-20
Lexus,NX 300h AWD,2021,2020-08-04,2021-04-26
Lexus,RX 450h,2015,2014-03-21,2017-04-05
Lexus,RX 300,2000,2013-01-01,2013-01-01
Lexus,GS 300/GS 430,2005,2013-01-01,2013-01-01
Lexus,SC 300/SC 400,1992,2013-01-01,2013-01-01
Lexus,GS 350,2015,2014-10-06,2016-09-26
Lexus,GS 350 AWD,2017,2016-09-26,2016-11-22
Lexus,ES 300h,2014,2013-01-01,2017-04-05
Lexus,RX 350,2021,2020-09-10,2021-04-26
Lexus,ES 350,2017,2016-09-01,2017-02-21
Lexus,GS 300/GS 430,2002,2013-01-01,2013-01-01
Lexus,RC 300 AWD,2020,2019-11-27,2020-02-05
Lexus,RC 350,2022,2021-09-24,2022-11-08
Lexus,TX 350,2024,2023-10-05,2024-01-18
Lexus,RC 200t,2016,2015-11-19,2016-09-26
Lexus,GX 460,2017,2016-08-25,2016-11-22
Lexus,IS 300,2020,2019-10-02,2020-02-05
Lexus,ES 300,1992,2013-01-01,2013-01-01
Lexus,GX 460,2012,2013-01-01,2016-09-26
Lexus,IS 350,2009,2013-01-01,2013-01-01
Lexus,LC 500h,2018,2017-05-03,2017-06-05
Lexus,TX 500h AWD,2024,2023-10-05,2024-01-18
Lexus,RX 350,2016,2015-11-04,2016-09-26
Lexus,RC F,2023,2023-01-26,2023-06-01
Lexus,UX 250h,2023,2022-07-20,2023-06-01
Lexus,ES 250 AWD,2022,2021-09-02,2022-04-22
Lexus,IS 300,2018,2017-11-03,2017-12-20
Lexus,RX 450h,2012,2013-01-01,2020-06-02
